"visitid","site","year","week","observer"
1,"1","3",10,"38"
2,"1","3",18,"12"
3,"1","3",24,"7"
4,"1","9",23,"29"
5,"1","9",28,"26"
6,"2","6",9,"36"
7,"2","7",36,"48"
8,"2","7",48,"30"
9,"2","9",3,"4"
10,"3","7",22,"37"
11,"3","8",8,"34"
12,"3","8",9,"9"
13,"3","8",49,"2"
14,"3","9",14,"36"
15,"3","9",32,"35"
16,"4","3",17,"50"
17,"4","5",48,"29"
18,"4","9",39,"47"
19,"4","10",48,"42"
20,"5","9",45,"40"
21,"5","10",14,"8"
22,"5","10",40,"37"
23,"6","4",9,"42"
24,"6","9",53,"36"
25,"6","10",2,"43"
26,"6","10",33,"28"
27,"7","2",17,"14"
28,"7","2",25,"48"
29,"7","5",3,"37"
30,"7","6",25,"22"
31,"7","6",25,"37"
32,"7","7",14,"44"
33,"7","7",17,"27"
34,"7","8",52,"20"
35,"7","9",3,"43"
36,"7","9",35,"15"
37,"8","6",3,"48"
38,"8","8",33,"6"
39,"8","10",16,"46"
40,"9","6",25,"34"
41,"9","8",15,"31"
42,"9","8",24,"11"
43,"9","8",46,"40"
44,"9","9",6,"36"
45,"9","10",38,"35"
46,"10","7",23,"36"
47,"10","7",47,"27"
48,"10","9",45,"28"
49,"10","10",49,"37"
50,"11","7",1,"11"
51,"11","7",16,"30"
52,"11","8",13,"40"
53,"11","8",48,"44"
54,"11","10",11,"5"
55,"11","10",14,"10"
56,"11","10",20,"47"
57,"12","1",28,"10"
58,"12","4",3,"41"
59,"12","4",9,"35"
60,"12","8",38,"12"
61,"12","9",39,"3"
62,"13","2",29,"16"
63,"13","4",11,"35"
64,"13","6",20,"34"
65,"13","6",50,"2"
66,"13","7",45,"42"
67,"13","8",53,"25"
68,"13","9",12,"27"
69,"14","5",52,"47"
70,"14","6",31,"26"
71,"14","9",33,"39"
72,"14","10",25,"10"
73,"14","10",32,"15"
74,"15","4",13,"33"
75,"15","6",10,"31"
76,"15","7",14,"2"
77,"15","7",26,"1"
78,"15","9",47,"27"
79,"15","10",31,"46"
80,"16","8",21,"2"
81,"16","8",45,"2"
82,"16","9",39,"42"
83,"17","7",47,"38"
84,"17","9",7,"45"
85,"17","10",3,"38"
86,"17","10",26,"28"
87,"18","6",18,"30"
88,"18","9",13,"1"
89,"18","9",26,"10"
90,"18","9",45,"3"
91,"19","1",38,"25"
92,"19","5",10,"1"
93,"19","7",12,"11"
94,"19","7",30,"31"
95,"19","8",44,"10"
96,"19","9",33,"11"
97,"19","10",17,"7"
98,"20","3",22,"42"
99,"20","4",51,"40"
100,"20","6",43,"19"
101,"20","7",3,"38"
102,"20","7",21,"33"
103,"20","9",48,"29"
